Dates,06-06-2025,Place,Driving Ranges

Club,Index,Ball Speed(mph),Launch Direction,Launch Angle,Spin Rate,Spin Axis,Back Spin,Side Spin,Apex(yd),Carry(yd),Total(yd),Offline(yd),Landing Angle,Club Path,Face Angle,Attack Angle, Dynamic Loft
5 Iron,46,80.8,L21.4,2.1,6047,R5.7,6017,R605,0.4,34.8,77.2,L11.3,3.2,L16.3,L22.0,-6.0,4.8
5 Iron,47,65.7,R1.8,35.3,9448,0.0,9448,0,19.1,71.5,71.4,R2.0,49.6,L0.0,L0.0,0.0,0.0
5 Iron,48,72.7,L2.2,30.7,9303,0.0,9303,0,20.0,84.2,84.6,L3.0,47.4,L0.0,L0.0,0.0,0.0
5 Iron,49,75.4,R8.5,27.8,8592,0.0,8592,0,19.1,90.0,90.9,R12.1,45.2,L0.0,L0.0,0.0,0.0
5 Iron,50,46.1,R11.5,18.3,3124,0.0,3124,0,2.8,30.5,44.6,R5.6,21.2,L0.0,L0.0,0.0,0.0
5 Iron,51,83.5,L0.7,23.9,7360,0.0,7360,0,19.6,104.3,106.6,L1.1,43.3,L0.0,L0.0,0.0,0.0
5 Iron,52,90.0,R3.9,21.4,6565,0.0,6565,0,20.1,115.5,119.3,R7.2,42.1,L0.0,L0.0,0.0,0.0
5 Iron,53,67.9,0.0,31.7,9335,0.0,9335,0,18.0,76.2,76.6,R0.0,46.8,L0.0,L0.0,0.0,0.0
5 Iron,54,48.0,L3.9,37.1,7391,0.0,7391,0,10.4,43.4,44.2,L2.7,45.3,L0.0,L0.0,0.0,0.0
5 Iron,55,63.0,R6.9,32.2,9349,0.0,9349,0,15.5,68.1,68.4,R7.5,45.8,L0.0,L0.0,0.0,0.0
5 Iron,56,66.1,L2.5,33.6,9395,0.0,9395,0,18.2,72.7,72.9,L2.9,48.1,L0.0,L0.0,0.0,0.0
5 Iron,57,98.0,R2.3,22.1,7116,R30.5,6130,R3615,22.9,124.7,128.1,R30.3,44.1,L0.0,L0.0,0.0,0.0
5 Iron,58,103.2,R2.2,18.4,4922,R20.5,4610,R1723,22.1,143.2,151.1,R24.4,39.5,L0.0,L0.0,0.0,0.0
5 Iron,59,64.0,R4.3,37.6,5052,R11.0,4959,R963,18.9,69.5,71.7,R8.3,50.2,L0.0,L0.0,0.0,0.0
5 Iron,60,100.1,R2.2,21.4,5747,R20.3,5390,R1995,24.8,135.2,139.6,R23.7,44.2,L0.0,L0.0,0.0,0.0
5 Iron,61,88.5,R11.1,27.7,4319,R47.7,2904,R3197,21.8,112.6,120.1,R45.5,43.1,L0.0,L0.0,0.0,0.0
5 Iron,62,92.5,R6.8,25.8,6255,R32.0,5304,R3314,24.1,117.0,120.5,R36.2,46.3,L0.0,L0.0,0.0,0.0
5 Iron,63,86.4,R5.7,25.0,7718,R26.8,6887,R3484,21.0,106.6,109.0,R27.7,44.7,L0.0,L0.0,0.0,0.0
,Average,72.7,R1.6,24.6,5798,R10.7,4971,R1406,13.5,71.8,87.3,R9.2,36.0,L5.5,R2.1,-0.5,17.3
,Deviation,7.9,9.0,11.5,2535,33.5,2901,2221.9,6.6,33.7,29.6,12.5,15.7,7.3,7.6,2.3,19.9
7 Iron,0,92.5,L5.9,20.6,2232,R22.1,2067,R840,17.3,125.8,141.4,R0.7,34.0,L10.3,L4.7,2.5,26.7
7 Iron,1,91.4,L6.0,21.3,3250,R8.2,3217,R463,19.3,125.4,136.7,L6.4,37.4,L0.0,L0.0,0.0,0.0
7 Iron,2,91.1,L5.2,21.2,2257,R23.7,2068,R906,17.4,123.2,138.1,R2.7,34.6,L7.2,L4.7,2.5,27.5
,Average,91.7,L5.7,21.0,2580,R18.0,2451,R736,18.0,124.8,138.7,L1.0,35.4,L5.9,L3.1,1.7,18.1
,Deviation,0.3,0.3,0.3,474,7.0,542,195.1,0.9,1.1,1.8,3.9,1.5,4.3,2.2,1.2,12.8
8 Iron,0,91.2,L4.6,25.2,3491,R16.8,3343,R1006,23.7,125.7,133.8,R3.0,42.3,L0.0,L0.0,0.0,0.0
8 Iron,1,97.4,L6.3,22.7,3655,R4.9,3642,R314,25.0,138.9,146.8,L9.6,42.0,L0.0,L0.0,0.0,0.0
8 Iron,2,93.6,L6.4,23.2,2841,R7.5,2817,R373,22.7,132.6,143.1,L8.1,39.9,L0.0,L0.0,0.0,0.0
,Average,94.1,L5.7,23.7,3329,R9.7,3267,R564,23.8,132.4,141.2,L4.9,41.4,L0.0,L0.0,0.0,0.0
,Deviation,1.1,0.8,1.1,352,5.1,341,313.2,0.9,4.9,5.0,5.6,1.1,0.0,0.0,0.0,0.0
9 Iron,0,81.9,L7.0,26.1,3235,R1.8,3233,R99,19.7,108.3,117.1,L11.2,40.7,L0.0,L0.0,0.0,0.0
9 Iron,1,88.6,L4.9,27.4,4962,R7.7,4917,R664,25.8,116.8,120.1,L3.4,48.0,L0.0,L0.0,0.0,0.0
9 Iron,2,91.9,L2.7,27.8,5915,R13.8,5743,R1413,28.1,119.0,121.0,R6.5,49.5,L0.0,L0.0,0.0,0.0
,Average,87.5,L4.9,27.1,4704,R7.8,4631,R725,24.5,114.7,119.4,L2.7,46.0,L0.0,L0.0,0.0,0.0
,Deviation,1.9,1.8,0.7,1109,4.9,1044,538.2,3.2,4.2,1.5,7.2,3.8,0.0,0.0,0.0,0.0
P-Wedge,0,82.3,L3.8,30.5,7693,R11.9,7527,R1591,25.2,100.5,101.4,R2.3,49.6,L10.0,L2.2,1.3,39.7
P-Wedge,1,81.3,L4.9,29.1,3830,R4.8,3817,R323,22.7,105.8,111.0,L5.4,45.9,L5.1,L4.8,2.7,37.5
P-Wedge,2,82.9,L1.6,31.3,6237,R13.0,6077,R1405,25.9,102.0,103.8,R6.2,50.0,L8.2,R0.1,2.1,40.5
,Average,82.2,L3.4,30.3,5920,R9.9,5807,R1106,24.6,102.8,105.4,R1.0,48.5,L7.7,L2.3,2.0,39.3
,Deviation,0.3,1.4,0.9,1593,3.6,1527,559.1,1.3,2.0,3.7,4.8,1.8,2.0,2.0,0.5,1.3
G-Wedge,0,72.8,L4.6,30.8,4872,R4.3,4858,R366,19.3,87.1,90.3,L4.4,46.3,L5.5,L4.3,2.4,39.7
G-Wedge,1,73.8,L5.5,31.3,4823,R4.5,4808,R380,20.3,89.0,92.3,L5.7,47.1,L6.9,L5.1,2.5,40.2
G-Wedge,2,79.0,L3.1,32.0,10862,R12.1,10620,R2284,24.9,91.7,91.3,R3.7,51.1,L6.9,L2.1,2.2,41.3
,Average,75.2,L4.4,31.3,6852,R7.0,6762,R1010,21.5,89.3,91.3,L2.1,48.2,L6.5,L3.9,2.4,40.4
,Deviation,1.2,1.0,0.5,2835,3.6,2728,900.9,2.3,1.7,0.8,4.2,2.1,0.7,1.3,0.1,0.7
S-Wedge,0,70.3,L3.4,36.0,9093,R2.6,9083,R411,22.5,78.3,78.2,L3.0,51.4,L0.0,L0.0,0.0,0.0
S-Wedge,1,63.7,L2.9,37.7,7128,R5.0,7100,R623,19.1,68.6,69.2,L1.3,50.5,L0.0,L0.0,0.0,0.0
S-Wedge,2,67.5,L4.1,36.8,8865,R8.8,8760,R1363,21.1,73.6,73.6,L0.8,51.2,L0.0,L0.0,0.0,0.0
,Average,67.2,L3.5,36.8,8362,R5.5,8314,R799,20.9,73.5,73.7,L1.7,51.0,L0.0,L0.0,0.0,0.0
,Deviation,1.2,0.5,0.7,878,2.6,869,408.1,1.3,3.6,3.3,0.9,0.4,0.0,0.0,0.0,0.0
